tiempo,VELOCIDAD,ACELERACION
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
945,4,2670474,0,753767816666667
946,4,6649275,0,281767566666667
947,4,8950086,0,1170565
948,4,921774,-0,0088362333333328
949,4,9171414,0,0359876
950,4,9480247,-0,129452683333334
951,4,673163,-0,250112016666667
952,4,523379,-0,010337308333333
953,4,52132,-0,334998416666667
954,3,8573284,-0,6550269
955,3,3647392,-0,35357125
956,3,1310554,-0,145966541666667
957,2,953991,-0,405858608333333
958,2,3229413,-0,674843841666667
959,1,7701297,-0,2874723
960,1,7582911,0,0673857583333334
961,1,886457,0,374546241666667
962,2,4449306,0,501124908333333
963,2,7686908,0,142492316666667
964,2,8026626,0,0665707166666667
965,3,0384052,0,543203425
966,3,8037972,0,659616666666667
967,4,2593265,0,412506916666667
968,4,654633,0,321915975
969,4,8950086,0,1370018
970,5,0262623,0,382695883333334
971,5,5883393,0,339459433333333
972,5,608928,-0,0678577166666667
973,5,482821,-0,371629475
974,4,9964085,-0,183026558333334
975,5,147737,0,127050841666666
976,5,1245747,-0,116927825
